"","Farmer","CODE","variable","value"
"1","Adsit","ORG8","GWT1","2310.9"
"2","Adsit","ORG1","GWT1","1762.7"
"3","Adsit","ORG2","GWT1","1690.1"
"4","Adsit","ORG2_Inoc","GWT1","2193"
"5","Adsit","CHECK2","GWT1","3257.5"
"6","Adsit","ORG18","GWT1","2466.5"
"7","Adsit","ORG19","GWT1","1916.7"
"8","Adsit","ORG4","GWT1","2604.8"
"9","Beiler","ORG19","GWT1","979.7"
"10","Beiler","ORG1","GWT1","1502.1"
"11","Beiler","ORG4","GWT1","962.6"
"12","Beiler","CHECK2","GWT1","2242.2"
"13","Beiler","ORG2","GWT1","1291.5"
"14","Beiler","ORG2_Inoc","GWT1","1229.7"
"15","Beiler","ORG18","GWT1","1112.3"
"16","Beiler","ORG8","GWT1","1047.7"
"17","Dahnert","ORG8","GWT1","635.9"
"18","Dahnert","ORG4","GWT1","1682.5"
"19","Dahnert","ORG1","GWT1","971"
"20","Dahnert","ORG19","GWT1","959.3"
"21","Dahnert","CHECK2","GWT1","1133.6"
"22","Dahnert","ORG18","GWT1","722.5"
"23","Dahnert","ORG2_Inoc","GWT1","978.8"
"24","Dahnert","ORG2","GWT1","927"
"25","Stoltzfus","ORG2","GWT1","1921.5"
"26","Stoltzfus","ORG2_Inoc","GWT1","1532.3"
"27","Stoltzfus","CHECK2","GWT1","2760.2"
"28","Stoltzfus","ORG18","GWT1","2386.6"
"29","Stoltzfus","ORG19","GWT1","1766.6"
"30","Stoltzfus","ORG8","GWT1","990"
"31","Stoltzfus","ORG4","GWT1","2188.9"
"32","Stoltzfus","ORG1","GWT1","2640.3"
"33","Zinniker","ORG2","GWT1","2201.5"
"34","Zinniker","ORG4","GWT1","3383.7"
"35","Zinniker","ORG18","GWT1","4058.1"
"36","Zinniker","ORG19","GWT1","4588.2"
"37","Zinniker","ORG8","GWT1","1694.1"
"38","Zinniker","CHECK2","GWT1","6127.1"
"39","Zinniker","ORG1","GWT1","4668.1"
"40","Zinniker","ORG2_Inoc","GWT1","."
"41","Adsit","ORG8","GWT2","1908.1"
"42","Adsit","ORG1","GWT2","510.1"
"43","Adsit","ORG2","GWT2","1166.7"
"44","Adsit","ORG2_Inoc","GWT2","1030.1"
"45","Adsit","CHECK2","GWT2","2068.7"
"46","Adsit","ORG18","GWT2","2492.1"
"47","Adsit","ORG19","GWT2","1583.2"
"48","Adsit","ORG4","GWT2","2646.4"
"49","Beiler","ORG19","GWT2","669.7"
"50","Beiler","ORG1","GWT2","1297.5"
"51","Beiler","ORG4","GWT2","1208.7"
"52","Beiler","CHECK2","GWT2","1255.8"
"53","Beiler","ORG2","GWT2","1030"
"54","Beiler","ORG2_Inoc","GWT2","835.3"
"55","Beiler","ORG18","GWT2","793.5"
"56","Beiler","ORG8","GWT2","181"
"57","Dahnert","ORG8","GWT2","250.7"
"58","Dahnert","ORG4","GWT2","577.8"
"59","Dahnert","ORG1","GWT2","1013.2"
"60","Dahnert","ORG19","GWT2","902.6"
"61","Dahnert","CHECK2","GWT2","1375.5"
"62","Dahnert","ORG18","GWT2","845.4"
"63","Dahnert","ORG2_Inoc","GWT2","1267.4"
"64","Dahnert","ORG2","GWT2","1037.3"
"65","Stoltzfus","ORG2","GWT2","1753.5"
"66","Stoltzfus","ORG2_Inoc","GWT2","1826.6"
"67","Stoltzfus","CHECK2","GWT2","2543.2"
"68","Stoltzfus","ORG18","GWT2","1833"
"69","Stoltzfus","ORG19","GWT2","1798.2"
"70","Stoltzfus","ORG8","GWT2","939.3"
"71","Stoltzfus","ORG4","GWT2","2069.2"
"72","Stoltzfus","ORG1","GWT2","2035.4"
"73","Zinniker","ORG2","GWT2","3627.9"
"74","Zinniker","ORG4","GWT2","4544.3"
"75","Zinniker","ORG18","GWT2","4674.9"
"76","Zinniker","ORG19","GWT2","5088.5"
"77","Zinniker","ORG8","GWT2","1102.4"
"78","Zinniker","CHECK2","GWT2","5391.6"
"79","Zinniker","ORG1","GWT2","4198.1"
"80","Zinniker","ORG2_Inoc","GWT2","."
"81","Adsit","ORG8","GWT3","2456.7"
"82","Adsit","ORG1","GWT3","1609.4"
"83","Adsit","ORG2","GWT3","1977.7"
"84","Adsit","ORG2_Inoc","GWT3","2690.9"
"85","Adsit","CHECK2","GWT3","3008.3"
"86","Adsit","ORG18","GWT3","3040.4"
"87","Adsit","ORG19","GWT3","2543.3"
"88","Adsit","ORG4","GWT3","3078.2"
"89","Beiler","ORG19","GWT3","1142"
"90","Beiler","ORG1","GWT3","960.1"
"91","Beiler","ORG4","GWT3","1039.4"
"92","Beiler","CHECK2","GWT3","1614.8"
"93","Beiler","ORG2","GWT3","770.5"
"94","Beiler","ORG2_Inoc","GWT3","970.5"
"95","Beiler","ORG18","GWT3","312.9"
"96","Beiler","ORG8","GWT3","485.7"
"97","Dahnert","ORG8","GWT3","624.2"
"98","Dahnert","ORG4","GWT3","1356.2"
"99","Dahnert","ORG1","GWT3","1267.2"
"100","Dahnert","ORG19","GWT3","1066.7"
"101","Dahnert","CHECK2","GWT3","933"
"102","Dahnert","ORG18","GWT3","245.3"
"103","Dahnert","ORG2_Inoc","GWT3","666.9"
"104","Dahnert","ORG2","GWT3","786.1"
"105","Stoltzfus","ORG2","GWT3","2009.5"
"106","Stoltzfus","ORG2_Inoc","GWT3","1158.9"
"107","Stoltzfus","CHECK2","GWT3","2409.8"
"108","Stoltzfus","ORG18","GWT3","1469.3"
"109","Stoltzfus","ORG19","GWT3","1756.5"
"110","Stoltzfus","ORG8","GWT3","1001.3"
"111","Stoltzfus","ORG4","GWT3","2187.2"
"112","Stoltzfus","ORG1","GWT3","1630.9"
"113","Zinniker","ORG2","GWT3","3017"
"114","Zinniker","ORG4","GWT3","4777.7"
"115","Zinniker","ORG18","GWT3","3537"
"116","Zinniker","ORG19","GWT3","4328.6"
"117","Zinniker","ORG8","GWT3","1753.7"
"118","Zinniker","CHECK2","GWT3","4614"
"119","Zinniker","ORG1","GWT3","3679.1"
"120","Zinniker","ORG2_Inoc","GWT3","."
"121","Adsit","ORG8","GWT4","1821.7"
"122","Adsit","ORG1","GWT4","2833.3"
"123","Adsit","ORG2","GWT4","2274.7"
"124","Adsit","ORG2_Inoc","GWT4","2646.5"
"125","Adsit","CHECK2","GWT4","4150.5"
"126","Adsit","ORG18","GWT4","2465.9"
"127","Adsit","ORG19","GWT4","2706.5"
"128","Adsit","ORG4","GWT4","2881.6"
"129","Beiler","ORG19","GWT4","1010.2"
"130","Beiler","ORG1","GWT4","1943.8"
"131","Beiler","ORG4","GWT4","1851.6"
"132","Beiler","CHECK2","GWT4","2270.8"
"133","Beiler","ORG2","GWT4","1313.2"
"134","Beiler","ORG2_Inoc","GWT4","1246.5"
"135","Beiler","ORG18","GWT4","991.3"
"136","Beiler","ORG8","GWT4","1138.2"
"137","Dahnert","ORG8","GWT4","562.5"
"138","Dahnert","ORG4","GWT4","941"
"139","Dahnert","ORG1","GWT4","861.6"
"140","Dahnert","ORG19","GWT4","660.1"
"141","Dahnert","CHECK2","GWT4","519.9"
"142","Dahnert","ORG18","GWT4","579.4"
"143","Dahnert","ORG2_Inoc","GWT4","781.5"
"144","Dahnert","ORG2","GWT4","1021.6"
"145","Stoltzfus","ORG2","GWT4","2008.2"
"146","Stoltzfus","ORG2_Inoc","GWT4","1622.4"
"147","Stoltzfus","CHECK2","GWT4","2381.8"
"148","Stoltzfus","ORG18","GWT4","1694.9"
"149","Stoltzfus","ORG19","GWT4","1661.7"
"150","Stoltzfus","ORG8","GWT4","967.3"
"151","Stoltzfus","ORG4","GWT4","2272.8"
"152","Stoltzfus","ORG1","GWT4","2392"
"153","Zinniker","ORG2","GWT4","3171.8"
"154","Zinniker","ORG4","GWT4","4979.3"
"155","Zinniker","ORG18","GWT4","4051"
"156","Zinniker","ORG19","GWT4","4825.1"
"157","Zinniker","ORG8","GWT4","1369.4"
"158","Zinniker","CHECK2","GWT4","4426.5"
"159","Zinniker","ORG1","GWT4","4702.8"
"160","Zinniker","ORG2_Inoc","GWT4","."
"161","Adsit","ORG8","GWT5","2257.9"
"162","Adsit","ORG1","GWT5","3179.9"
"163","Adsit","ORG2","GWT5","2607.7"
"164","Adsit","ORG2_Inoc","GWT5","2579.9"
"165","Adsit","CHECK2","GWT5","4264.9"
"166","Adsit","ORG18","GWT5","2777.1"
"167","Adsit","ORG19","GWT5","2123.1"
"168","Adsit","ORG4","GWT5","3377.7"
"169","Beiler","ORG19","GWT5","1385.6"
"170","Beiler","ORG1","GWT5","1696.2"
"171","Beiler","ORG4","GWT5","1504.5"
"172","Beiler","CHECK2","GWT5","1667.4"
"173","Beiler","ORG2","GWT5","1401.8"
"174","Beiler","ORG2_Inoc","GWT5","959.1"
"175","Beiler","ORG18","GWT5","391.2"
"176","Beiler","ORG8","GWT5","668.2"
"177","Dahnert","ORG8","GWT5","532.6"
"178","Dahnert","ORG4","GWT5","1060.1"
"179","Dahnert","ORG1","GWT5","1118.1"
"180","Dahnert","ORG19","GWT5","870.7"
"181","Dahnert","CHECK2","GWT5","988.7"
"182","Dahnert","ORG18","GWT5","837"
"183","Dahnert","ORG2_Inoc","GWT5","1010.3"
"184","Dahnert","ORG2","GWT5","1189.3"
"185","Stoltzfus","ORG2","GWT5","1507"
"186","Stoltzfus","ORG2_Inoc","GWT5","1297.7"
"187","Stoltzfus","CHECK2","GWT5","2190"
"188","Stoltzfus","ORG18","GWT5","1872.7"
"189","Stoltzfus","ORG19","GWT5","2277.5"
"190","Stoltzfus","ORG8","GWT5","1011.8"
"191","Stoltzfus","ORG4","GWT5","2016.8"
"192","Stoltzfus","ORG1","GWT5","2000.1"
"193","Zinniker","ORG2","GWT5","3231.3"
"194","Zinniker","ORG4","GWT5","5027.5"
"195","Zinniker","ORG18","GWT5","3385.5"
"196","Zinniker","ORG19","GWT5","3826.7"
"197","Zinniker","ORG8","GWT5","1073.3"
"198","Zinniker","CHECK2","GWT5","5732.6"
"199","Zinniker","ORG1","GWT5","4977.6"
"200","Zinniker","ORG2_Inoc","GWT5","."
"201","Adsit","ORG8","GWT6","2001.1"
"202","Adsit","ORG1","GWT6","3572.4"
"203","Adsit","ORG2","GWT6","3016.3"
"204","Adsit","ORG2_Inoc","GWT6","2063.4"
"205","Adsit","CHECK2","GWT6","3686.2"
"206","Adsit","ORG18","GWT6","3239.7"
"207","Adsit","ORG19","GWT6","2897.6"
"208","Adsit","ORG4","GWT6","3651.3"
"209","Beiler","ORG19","GWT6","677.3"
"210","Beiler","ORG1","GWT6","1614.9"
"211","Beiler","ORG4","GWT6","1751.3"
"212","Beiler","CHECK2","GWT6","1750.4"
"213","Beiler","ORG2","GWT6","854.4"
"214","Beiler","ORG2_Inoc","GWT6","1066.3"
"215","Beiler","ORG18","GWT6","126.6"
"216","Beiler","ORG8","GWT6","420"
"217","Dahnert","ORG8","GWT6","177.9"
"218","Dahnert","ORG4","GWT6","456"
"219","Dahnert","ORG1","GWT6","548.7"
"220","Dahnert","ORG19","GWT6","956"
"221","Dahnert","CHECK2","GWT6","946.5"
"222","Dahnert","ORG18","GWT6","720.3"
"223","Dahnert","ORG2_Inoc","GWT6","426.5"
"224","Dahnert","ORG2","GWT6","1063.5"
"225","Stoltzfus","ORG2","GWT6","2253.1"
"226","Stoltzfus","ORG2_Inoc","GWT6","1594.4"
"227","Stoltzfus","CHECK2","GWT6","2771.7"
"228","Stoltzfus","ORG18","GWT6","1650.9"
"229","Stoltzfus","ORG19","GWT6","2340.7"
"230","Stoltzfus","ORG8","GWT6","1067.4"
"231","Stoltzfus","ORG4","GWT6","2071.4"
"232","Stoltzfus","ORG1","GWT6","1897.6"
"233","Zinniker","ORG2","GWT6","3148.6"
"234","Zinniker","ORG4","GWT6","4721.2"
"235","Zinniker","ORG18","GWT6","3480.7"
"236","Zinniker","ORG19","GWT6","3734.4"
"237","Zinniker","ORG8","GWT6","1968.9"
"238","Zinniker","CHECK2","GWT6","4142.2"
"239","Zinniker","ORG1","GWT6","4473.5"
"240","Zinniker","ORG2_Inoc","GWT6","."
