"","Management","Levels","PHT","groups_PHT","EHT","groups_EHT","SDL","groups_SDL","SDS","groups_SDS","TWT","groups_TWT","KWT300","groups_KWT300","PRO","groups_PRO","OIL","groups_OIL","STA","groups_STA"
"1","FS","Animal",230.983974357692,"ab",103.102564104423,"b",21.7798076923077,"a",19.5881410253846,"a",11.9729288461538,"a",72.9096153846154,"c",8.56923076923077,"a",3.925,"ab",71.5846153846154,"a"
"2","FS","Mix",235.1424999985,"a",109.1500000003,"a",21.8151784351001,"a",19.5834029760992,"a",11.7549965625,"a",79.6105,"a",7.9823,"b",4.0535,"a",68.7785,"b"
"3","FS","Green",223.300796488373,"b",110.38105500839,"a",20.3653029519433,"b",18.3083618278489,"b",9.03736180555556,"b",76.1351851851852,"b",7.32148148148148,"c",3.83703703703704,"b",70.8666666666667,"a"
"4","WRT","Low",244.96031745873,"a",111.076719577143,"a",22.0776667318457,"a",19.801338798,"a",12.3491494047619,"a",76.6769841269841,"b",7.93603174603175,"b",3.97222222222222,"a",69.5949206349206,"a"
"5","WRT","Moderate",225.971393034328,"b",106.798507462687,"b",21.1598820564546,"b",19.0250329438408,"b",10.5880101679104,"b",77.0582089552239,"b",7.88119402985075,"b",4.0434328358209,"a",69.5864179104478,"a"
"6","WRT","High",216.363978484177,"c",105.331383417893,"b",21.2630835358147,"b",19.1215731352394,"b",10.5831078804348,"b",83.4260869565217,"a",8.29130434782609,"a",3.90608695652174,"a",69.8121739130435,"a"
"7","Dens","Low",234.206489674779,"a",109.533185841549,"a",21.9319025065056,"a",19.7157110811622,"a",11.5402749446903,"a",77.1769911504425,"b",7.95159292035398,"b",4.05522123893805,"a",69.6066371681416,"a"
"8","Dens","Medium",229.7916666625,"ab",101.47569444375,"b",20.8557441781196,"b",18.7021505041076,"b",11.2864203125,"a",78.50625,"ab",8.28958333333333,"a",3.99208333333333,"a",69.5104166666667,"a"
"9","Dens","High",223.03884407413,"b",110.205530326659,"a",19.9258237314044,"c",17.8269230844951,"c",9.742463671875,"b",81.7,"a",7.576875,"c",3.559375,"b",69.915625,"a"
"10","CI","High",230.568120098187,"b",104.979139705818,"b",21.4314947788553,"a",19.247823580503,"a",11.2498651483051,"b",76.1983050847458,"c",7.98525423728814,"a",3.98271186440678,"a",70.1933898305085,"a"
"11","CI","Medium",239.627192984211,"a",119.241228072895,"a",21.9756090717442,"a",19.6892430980455,"a",12.0869914473684,"a",79.9342105263158,"b",7.62473684210526,"b",3.96526315789474,"a",67.1173684210526,"b"
"12","CI","Low",236.812500003125,"ab",120.17708333125,"a",21.9501916840256,"a",19.7886832662265,"a",10.854228125,"b",87.6375,"a",8.22375,"a",4.10625,"a",68.4,"b"
"13","CD","High",235.848090277083,"a",109.88020833375,"a",21.9066230892202,"a",19.7134151267326,"a",12.0818397135417,"a",79.5609375,"a",8.04614583333333,"a",4.0321875,"a",69.2088541666667,"b"
"14","CD","Low",226.448038100633,"b",105.744827226869,"b",20.958249239427,"b",18.7626294992194,"b",10.0166309210526,"b",74.9912280701754,"b",7.82947368421053,"b",3.92824561403509,"b",70.3228070175439,"a"
"15","PER","Absent",231.205913975706,"b",106.933375561898,"b",21.2606307446667,"b",19.0900105034752,"b",11.1709035860656,"b",77.5782786885246,"a",7.93065573770492,"b",3.99147540983607,"a",69.8804918032787,"a"
"16","PER","Present",236.833333332258,"a",113.873655916774,"a",22.7051313665529,"a",20.4185952321892,"a",11.8694947580645,"a",78.9612903225806,"a",8.10225806451613,"a",4.00129032258064,"a",68.6138709677419,"b"
