"","FAR","PHT","EHT","SDL","SDS","TWT","KWT300","YIELD","PRO","OIL","STA"
"1","Adsit",222.3,108,20.8,18.6,5.9,70.7,4.8,7.7,4.9,66.4
"2","Anibas",221.7,107,20.3,18.4,9.6,65.7,7.7,8.2,4.5,66.5
"3","Beiler",226,109.9,21.2,19,8.6,72.6,6.9,8.4,4.7,66
"4","Clark",233,113,21.4,19.1,3.6,69.2,2.9,7.8,4.6,66.5
"5","Dahnert",213.9,101.8,21.1,18.7,5.6,66,4.5,7.4,4.6,67
"6","Doudlah",236.5,113.6,21.3,19.3,7.4,68.2,5.9,7.7,4.7,66.6
"7","Egre",219.8,105.8,20.2,18.3,2.3,74.1,1.9,8.5,4.6,66.1
"8","Esch",231.6,112.7,21.1,18.9,12.7,78.1,10.2,9.1,4.6,65.7
"9","Goldstein",222.8,108.4,20.4,18.5,4.3,66.7,3.4,7.8,4.6,66.5
"10","Stoltzfus",226.5,108.9,21,18.7,12.3,84.3,9.8,8.5,4.7,66
"11","Stoltzfus1",214.2,103.9,20.3,18.3,16.2,94.8,12.9,8.7,4.4,66.1
"12","Stoltzfus2",213.4,102.9,20.4,18.3,14.1,89.6,11.3,8.9,4.4,66.1
"13","Zinniker",228.9,110.7,20.9,18.6,13.5,90.7,10.8,8.5,4.6,66.1
